,sentiment,vi_review
0,positive,cam on a .
1,positive,cảm on 👍 👍 🥰
2,positive,ý nghĩa
3,positive,"câu , chữ đời tâm đắc"
4,positive,ah
5,positive,tuyệt vời . câu chuyện tích cực 🥰 🥰
6,positive,ấm áp
7,positive,cám ơn đẹp tuyệt vời
8,positive,tuyệt vời lắm cám ơn nha 🥰 😂
9,positive,🥰 🥰 🥰
10,positive,hữu ích 👌
11,positive,🥰 cám ơn
12,positive,🥰 🥰 🥰 🥰
13,positive,🥰
14,positive,câu 5 động lực 🥰
15,positive,an lòng theo dõi 🥰
16,positive,.
17,positive,.
18,positive,😁 😁 😁 😁
19,positive,câu
20,positive,ý nghĩa
21,positive,tuyệt vời
22,positive,❤ ️
23,positive,triết lý nhe .
24,positive,ý nghĩa
25,positive,ý nghĩa ... kỹ ...
26,positive,"tiền , sức khỏe tự do"
27,positive,chúc vui vẻ
28,positive,nam mô a di đà phật
29,positive,😁
30,positive,ý nghĩa
31,positive,hữu ích
32,positive,","
33,positive,🥰
34,positive,"ý nghĩa , b"
35,positive,🌸 ♥ ️ t mến chúc tuần vv ấm áp hp ngọt ngào gđ thân yêu ♥ ️
36,positive,tuyệt ạ
37,positive,", co suc khoe , me voi thanh cong 🥰 🥰 🥰 cam on chanhthanh 🥰 🥰 🥰 🥰"
38,positive,😂 😂
39,positive,giọng
40,positive,ý nghĩ lưu năng lượng nè tiếp luồn tích cực nè
41,positive,tuyệt vời
42,positive,tuyệt vời
43,positive,","
44,positive,thanhks
45,positive,ý nghĩa ... bạn đọc chậm ...
46,positive,ý nghĩa
47,positive,cám ơn
48,positive,cám ơn cố gắn
49,positive,câu hữu ích
50,positive,ban
51,positive,bữa ích ak
52,positive,chuẩn 😁
53,positive,yess . ad
54,positive,sức khỏe làm đẹp : suy nghĩ tích cực video
55,positive,biết ơn vũ trụ . biết ơn cuộc sống
56,positive,ok ....
57,positive,cầu mong sức khỏe sống kiếm tiền nợ sai lầm . 🙏 🙏 🙏
58,positive,mô phật
59,positive,good
60,positive,ghi nhớ sống
61,positive,tuyệt lắm
62,positive,oki
63,positive,năng lượng tịch cực tao đổ xăng gọi là tràn bình
64,positive,video đi bn
65,positive,"trúng độc đắc 20 tỷ nợ . , biết ơn tiền , biết ơn đức hoàng thần tài biết ơn ông bà tổ tiên biết ơn vũ trụ"
66,positive,tích cực
67,positive,chúc thâth sức khỏe hoàn thành dự định . lắm
68,positive,"hạnh phúc , tiền , đau ốm 🥰"
69,positive,nhạc
70,positive,"cố , lo lắng bố mẹ gđ emcòn trân trọng lỡ"
71,positive,tiên bụt ơii ước gi màu hồng xinh xinh 💋 🤍
72,positive,buồn đi
73,positive,👏 👏 👏 hạnh phúc
74,positive,yes
75,positive,tiền
76,positive,"khỏe , năng lượng , hạnh phúc , giàu có , người yêu yêu yêu thương . biết ơn vũ trụ ❤ ️"
77,positive,lắm ak
78,positive,cố gắng
79,positive,annie vàng đi ăn cưới em gái vàng đám cưới giàu có 🥰
80,positive,"cố gắng , chúc may mắn 🥰 🥰"
81,positive,huyền moon
82,positive,đam mê
83,positive,"vog duyên âm nghi ngờ thư yếm bùa ngải chụp 2 bàn tay gửi giúp , ko tốn phí"
84,positive,sống 1 cuộc đời tốt đẹp cạnh yêu thương hơi thở 🥰
85,positive,cố gắng nghịch cảnh tốt đẹp 🥰
86,positive,đón nhận . thả lỏng nguoi . hít sâu thở nhẹ nhàng
87,positive,"xứng đáng 1 cuộc sống , xứng đáng hạnh phúc , xứng đáng yêu thương che chở . xứng đáng"
88,positive,cuộc sống tốt đẹp tối
89,positive,chúc trôi khỏe sống tích cực ❤ ️
90,positive,sống hạnh phúc
91,positive,sống cs tốt đẹp cố
92,positive,biết ơn hạnh phúc phút giây sống 😇
93,positive,dẹp tiêu cực cs vui tươi
94,positive,my xứng m
95,positive,👍 🌹 mặt cưng . 🌹 👍
96,positive,dẽ thương
97,positive,dễ thương
98,positive,🤣 🤣 🤣 đầu gái đẹp 🤣 🤣
99,positive,dc ta
100,positive,"eo ôi , yêu chju"
101,positive,cưng đi thoi 🌹
102,positive,8 12 2024
103,positive,mùng mặt vui nè
104,positive,🌹 mặt cưng . nha 🌹 👍
105,positive,yêu đi
106,positive,cưng căng thẳng 🥰
107,positive,cưng dử .. cưng .. 🥰 🥰
108,positive,cưng xỉu
109,positive,cưng ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
110,positive,😂 😂 😂 cute oi
111,positive,eo cưng xỉu ak
112,positive,bé dễ thương
113,positive,cưng xỉu nè ♥ ️ ♥ ️ ♥ ️
114,positive,ôi cưng đi thôi yêu . 🥰
115,positive,🤣 🤣 🤣 🤣 🤣 🤣 sao cưng thế nhở
116,positive,mặt de thương
117,positive,mặt cưng
118,positive,thương
119,positive,mặt cưng . 2 đồng tiền lun
120,positive,iu
121,positive,yêu cháu cơ ❤ ️ ❤ ️ ❤ ️
122,positive,mặt yêu
123,positive,dễ thương di ..... thành tâm xin vía má lúm đồng tiền
124,positive,cưng
125,positive,coi mặt kìa
126,positive,"eo ôi , yêu chju 🥰 🥰"
127,positive,ui la trơi dê thuong
128,positive,đẹp
129,positive,hài
130,positive,dễ thương 🌷 ♥ ️ ♥ ️
131,positive,hjhj tác phẩm nghệ thuật thế giới
132,positive,cưng đi . ❤ ❤ ❤ 🥰 🥰
133,positive,dễ thương trời
